post_id,source,target,tipo_interacao,data
30112,34387,30112,repost,20240302
392672,937,392672,repost,20240317
2750977,3010,2750977,repost,20231206
70482,124646,70482,repost,20231006
88409,125,88409,repost,20240128
11543,149946,11543,repost,20240226
879520,78,879520,repost,20231101
1487493,725988,1487493,repost,20231119
987294,59068,987294,repost,20240312
230698,205164,230698,repost,20231024
1696232,217982,1696232,repost,20230930
6733,193766,6733,repost,20230925
238045,213143,238045,repost,20231218
966196,5639,966196,repost,20240315
152759,82911,152759,repost,20231208
67093,39509,67093,repost,20231223
781828,136135,781828,repost,20231230
13152,152740,13152,repost,20231010
636337,133,636337,repost,20240122
4054492,340085,4054492,repost,20240210
617795,189786,617795,repost,20230914
1361062,620,1361062,repost,20240207
297549,87262,297549,repost,20231105
66247,2454,66247,repost,20231013
269577,3864,269577,repost,20230923
907105,907103,907105,repost,20240315
66398,37712,66398,repost,20240314
65941,24513,65941,repost,20240313
311370,30271,311370,repost,20230923
911120,39370,911120,repost,20231124
135731,48607,135731,repost,20231001
736625,791,736625,repost,20230731
752273,22158,752273,repost,20230829
8488,8398,8488,repost,20231026
396653,19886,396653,repost,20230817
206322,4589,206322,repost,20230919
597012,42024,597012,repost,20231104
152032,86205,152032,repost,20240226
1112183,75754,1112183,repost,20230805
164575,163606,164575,repost,20231106
15033,48331,15033,repost,20231109
8408,70477,8408,repost,20231017
284030,45186,284030,repost,20230422
61356,83465,61356,repost,20230906
689352,1554,689352,repost,20231001
2140832,7498,2140832,repost,20240211
295397,121730,295397,repost,20231229
206322,83245,206322,repost,20230923
110072,83045,110072,repost,20240120
3823,41046,3823,repost,20231120
1015978,83,1015978,repost,20240207
280821,3452,280821,repost,20231209
66138,6584,66138,repost,20240116
653688,331,653688,repost,20240208
95897,3177,95897,repost,20240117
68391,47876,68391,repost,20231023
627621,1120,627621,repost,20240208
158636,517800,158636,repost,20240310
28720,346253,28720,repost,20231201
143220,330439,143220,repost,20231021
288461,6677,288461,repost,20230708
296939,7299,296939,repost,20231201
205136,91003,205136,repost,20230506
24885,703,24885,repost,20231122
797073,205517,797073,repost,20231015
855880,88998,855880,repost,20231111
1105739,16252,1105739,repost,20231004
52072,52086,52072,repost,20231024
95723,3431,95723,repost,20231228
797110,14687,797110,repost,20231013
853223,33210,853223,repost,20240312
1992468,705910,1992468,repost,20231014
211773,126186,211773,repost,20240206
313507,58546,313507,repost,20231114
74474,140766,74474,repost,20240131
9707,29695,9707,repost,20231009
64153,6407,64153,repost,20230927
384998,8278,384998,repost,20231013
292521,79191,292521,repost,20231221
148565,81284,148565,repost,20240310
1099142,204614,1099142,repost,20231107
432479,31193,432479,repost,20231005
2682142,196185,2682142,repost,20240214
1359827,388924,1359827,repost,20231230
158654,266120,158654,repost,20231108
54046,77226,54046,repost,20231012
938509,168994,938509,repost,20240311
